rule,antecedent,consequent,support,confidence,lift,support_count_xy,support_count_x,support_count_y
i107 i25 → i100,i107 i25,i100,0.002800,0.552632,3.174035,21,38,1306
i55 i99 → i71,i55 i99,i71,0.003999,0.410959,3.171402,30,73,972
i25 i49 i72 → i71,i25 i49 i72,i71,0.003999,0.410959,3.171402,30,73,972
i23 i55 → i71,i23 i55,i71,0.003866,0.408451,3.152046,29,71,972
i49 i55 i72 → i71,i49 i55 i72,i71,0.003733,0.405797,3.131568,28,69,972
i81 i99 → i71,i81 i99,i71,0.003600,0.402985,3.109867,27,67,972
i100 i21 → i71,i100 i21,i71,0.002666,0.400000,3.086831,20,50,972
i23 i48 → i71,i23 i48,i71,0.002666,0.400000,3.086831,20,50,972
i15 i25 i71 → i100,i15 i25 i71,i100,0.002933,0.536585,3.081874,22,41,1306
i25 i49 i55 → i100,i25 i49 i55,i100,0.003066,0.534884,3.072100,23,43,1306
i49 i55 i71 → i100,i49 i55 i71,i100,0.003066,0.534884,3.072100,23,43,1306
i37 i89 → i100,i37 i89,i100,0.003733,0.528302,3.034297,28,53,1306
i59 i81 → i100,i59 i81,i100,0.002666,0.526316,3.022890,20,38,1306
i43 i55 i72 → i100,i43 i55 i72,i100,0.002800,0.525000,3.015333,21,40,1306
i55 i97 → i100,i55 i97,i100,0.005999,0.523256,3.005315,45,86,1306
i108 i49 i72 → i100,i108 i49 i72,i100,0.003066,0.522727,3.002280,23,44,1306
i48 i71 i72 → i100,i48 i71 i72,i100,0.003200,0.521739,2.996604,24,46,1306
i37 i71 i81 → i72,i37 i71 i81,i72,0.002666,0.714286,2.996564,20,28,1788
i100 i31 i37 → i72,i100 i31 i37,i72,0.002933,0.709677,2.977232,22,31,1788
i49 i55 → i100,i49 i55,i100,0.008666,0.511811,2.939582,65,127,1306
i25 i49 i81 → i72,i25 i49 i81,i72,0.002800,0.700000,2.936633,21,30,1788
i108 i116 → i100,i108 i116,i100,0.003066,0.511111,2.935562,23,45,1306
i55 i85 → i100,i55 i85,i100,0.003333,0.510204,2.930353,25,49,1306
i108 i71 i72 → i100,i108 i71 i72,i100,0.003333,0.510204,2.930353,25,49,1306
i49 i71 i81 → i72,i49 i71 i81,i72,0.003333,0.694444,2.913326,25,36,1788
i23 i55 → i100,i23 i55,i100,0.004799,0.507042,2.912193,36,71,1306
i49 i81 → i100,i49 i81,i100,0.005733,0.505882,2.905531,43,85,1306
i110 i81 → i100,i110 i81,i100,0.002666,0.500000,2.871746,20,40,1306
i37 i55 i71 → i100,i37 i55 i71,i100,0.002933,0.500000,2.871746,22,44,1306
i49 i55 i71 → i25,i49 i55 i71,i25,0.002666,0.465116,2.838761,20,43,1229
i59 i82 → i100,i59 i82,i100,0.003600,0.490909,2.819532,27,55,1306
